currentGA	bestGA	
1855.12	1855.12	
3682.2	3682.2	
2845.49	3682.2	
1769.63	3682.2	
2805.18	3682.2	
3652.84	3682.2	
2191.53	3682.2	
2102.76	3682.2	
3021.22	3682.2	
3703.65	3703.65	
1625.69	3703.65	
1594.9	3703.65	
2836.57	3703.65	
3794.33	3794.33	
2606.82	3794.33	
2478.96	3794.33	
2839.17	3794.33	
2353.7	3794.33	
1727.9	3794.33	
3025.36	3794.33	
2423.81	3794.33	
1953.55	3794.33	
1740.48	3794.33	
1889.32	3794.33	
1874.6	3794.33	
2788.97	3794.33	
1942.87	3794.33	
2693.68	3794.33	
2255.62	3794.33	
4065.71	4065.71	
2633.79	4065.71	
1391.46	4065.71	
2369.77	4065.71	
1317.55	4065.71	
3452.89	4065.71	
3092.36	4065.71	
2952.07	4065.71	
3190.62	4065.71	
3217.44	4065.71	
1447.13	4065.71	
2032.67	4065.71	
2343.32	4065.71	
1891.43	4065.71	
2937.29	4065.71	
4437.68	4437.68	
2697.89	4437.68	
1676.89	4437.68	
2552.28	4437.68	
2567.96	4437.68	
3296.32	4437.68	
2991.1	4437.68	
5225.07	5225.07	
2600.73	5225.07	
1935.17	5225.07	
1875.78	5225.07	
3380.11	5225.07	
2399.95	5225.07	
3381.27	5225.07	
3272.95	5225.07	
1919.44	5225.07	
1919.44	5225.07	
