@relation labor-neg-data-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute duration numeric
@attribute wage-increase-first-year numeric
@attribute wage-increase-second-year numeric
@attribute wage-increase-third-year numeric
@attribute cost-of-living-adjustment=none numeric
@attribute cost-of-living-adjustment=tcf numeric
@attribute cost-of-living-adjustment=tc numeric
@attribute working-hours numeric
@attribute pension=none numeric
@attribute pension=ret_allw numeric
@attribute pension=empl_contr numeric
@attribute standby-pay numeric
@attribute shift-differential numeric
@attribute education-allowance=no numeric
@attribute statutory-holidays numeric
@attribute vacation=below_average numeric
@attribute vacation=average numeric
@attribute vacation=generous numeric
@attribute longterm-disability-assistance=no numeric
@attribute contribution-to-dental-plan=none numeric
@attribute contribution-to-dental-plan=half numeric
@attribute contribution-to-dental-plan=full numeric
@attribute bereavement-assistance=no numeric
@attribute contribution-to-health-plan=none numeric
@attribute contribution-to-health-plan=half numeric
@attribute contribution-to-health-plan=full numeric
@attribute class {bad,good}

@data
1,5,3.971739,3.913333,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,2,0.545455,11,0,1,0,0.285714,0.243243,0.405405,0.351351,0,0.216216,0.243243,0.540541,good
2,4.5,5.8,3.913333,0.594595,0.216216,0.189189,35,0,1,0,7.444444,4.870968,0,11,1,0,0,0.285714,0,0,1,0.1,0,0,1,good
2.160714,3.803571,3.971739,3.913333,0.594595,0.216216,0.189189,38,0,0,1,7.444444,5,0.545455,11,0,0,1,0,0,1,0,0,0,1,0,good
3,3.7,4,5,0,0,1,38.039216,0.407407,0.148148,0.444444,7.444444,4.870968,0,11.09434,0.352941,0.333333,0.313725,0.285714,0.243243,0.405405,0.351351,0,0.216216,0.243243,0.540541,good
3,4.5,4.5,5,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,12,0,1,0,0.285714,0,1,0,0,0,1,0,good
2,2,2.5,3.913333,0.594595,0.216216,0.189189,35,0.407407,0.148148,0.444444,7.444444,6,0,12,0,1,0,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
3,4,5,5,0,0,1,38.039216,0,0,1,7.444444,4.870968,0.545455,12,0,0,1,0,1,0,0,0,0,1,0,good
3,6.9,4.8,2.3,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,3,0.545455,12,1,0,0,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
2,3,7,3.913333,0.594595,0.216216,0.189189,38,0.407407,0.148148,0.444444,12,25,0,11,1,0,0,0,0,1,0,0,0.216216,0.243243,0.540541,good
1,5.7,3.971739,3.913333,1,0,0,40,0,0,1,7.444444,4,0.545455,11,0,0,1,0,0,0,1,0.1,0.216216,0.243243,0.540541,good
